TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y)
,49.16,49.40,18.0,9.0,15.5,6.5
,49.16,48.22,18.0,9.0,20.5,6.5
261,49.08,49.20,9.0,9.0,6.5,11.5
,49.08,49.53,9.0,9.0,11.5,11.5
,49.08,49.37,9.0,9.0,9.0,9.0
,49.08,49.14,9.0,9.0,6.5,6.5
,49.08,49.50,9.0,9.0,11.5,6.5
110,38.96,29.20,0.0,9.0,-2.5,11.5
,38.96,45.05,0.0,9.0,2.5,11.5
,38.96,40.48,0.0,9.0,0.0,9.0
,38.96,29.17,0.0,9.0,-2.5,6.5
,38.96,44.99,0.0,9.0,2.5,6.5
118,26.15,26.06,-9.0,9.0,-11.5,11.5
,26.15,26.52,-9.0,9.0,-6.5,11.5
,26.15,26.20,-9.0,9.0,-9.0,9.0
,26.15,26.06,-9.0,9.0,-11.5,6.5
,26.15,26.51,-9.0,9.0,-6.5,6.5
180,25.55,24.93,-18.0,9.0,-20.5,11.5
,25.55,25.67,-18.0,9.0,-15.5,11.5
,25.55,25.45,-18.0,9.0,-18.0,9.0
,25.55,24.91,-18.0,9.0,-20.5,6.5
,25.55,25.66,-18.0,9.0,-15.5,6.5
121,48.92,49.41,18.0,0.0,15.5,2.5
,48.92,48.23,18.0,0.0,20.5,2.5
,48.92,49.17,18.0,0.0,18.0,0.0
,48.92,49.42,18.0,0.0,15.5,-2.5
,48.92,48.24,18.0,0.0,20.5,-2.5
236,49.25,49.15,9.0,0.0,6.5,2.5
,49.25,49.49,9.0,0.0,11.5,2.5
,49.25,49.08,9.0,0.0,9.0,0.0
,49.25,49.19,9.0,0.0,6.5,-2.5
,49.25,49.52,9.0,0.0,11.5,-2.5
257,39.19,29.15,0.0,0.0,-2.5,2.5
,39.19,44.95,0.0,0.0,2.5,2.5
,39.19,40.40,0.0,0.0,0.0,0.0
,39.19,29.16,0.0,0.0,-2.5,-2.5
,39.19,44.95,0.0,0.0,2.5,-2.5
172,25.83,26.05,-9.0,0.0,-11.5,2.5
,25.83,26.51,-9.0,0.0,-6.5,2.5
,25.83,26.19,-9.0,0.0,-9.0,0.0
,25.83,26.05,-9.0,0.0,-11.5,-2.5
,25.83,26.51,-9.0,0.0,-6.5,-2.5
262,25.30,24.92,-18.0,0.0,-20.5,2.5
,25.30,25.67,-18.0,0.0,-15.5,2.5
,25.30,25.46,-18.0,0.0,-18.0,0.0
,25.30,24.92,-18.0,0.0,-20.5,-2.5
,25.30,25.67,-18.0,0.0,-15.5,-2.5
128,48.90,49.40,18.0,-9.0,15.5,-6.5
,48.90,48.22,18.0,-9.0,20.5,-6.5
,48.90,49.16,18.0,-9.0,18.0,-9.0
,48.90,49.44,18.0,-9.0,15.5,-11.5
,48.90,48.26,18.0,-9.0,20.5,-11.5
189,49.06,49.12,9.0,-9.0,6.5,-6.5
,49.06,49.44,9.0,-9.0,11.5,-6.5
,49.06,49.08,9.0,-9.0,9.0,-9.0
,49.06,48.08,9.0,-9.0,6.5,-11.5
,49.06,48.39,9.0,-9.0,11.5,-11.5
179,39.38,29.17,0.0,-9.0,-2.5,-6.5
,39.38,44.98,0.0,-9.0,2.5,-6.5
,39.38,40.48,0.0,-9.0,0.0,-9.0
,39.38,29.18,0.0,-9.0,-2.5,-11.5
,39.38,45.04,0.0,-9.0,2.5,-11.5
98,26.04,25.99,-9.0,-9.0,-11.5,-6.5
,26.04,26.44,-9.0,-9.0,-6.5,-6.5
,26.04,25.98,-9.0,-9.0,-9.0,-9.0
,26.04,25.43,-9.0,-9.0,-11.5,-11.5
,26.04,25.83,-9.0,-9.0,-6.5,-11.5
83,25.48,24.91,-18.0,-9.0,-20.5,-6.5
,25.48,25.66,-18.0,-9.0,-15.5,-6.5
,25.48,25.45,-18.0,-9.0,-18.0,-9.0
,25.48,24.92,-18.0,-9.0,-20.5,-11.5
,25.48,25.66,-18.0,-9.0,-15.5,-11.5
143,48.46,49.36,18.0,-18.0,15.5,-15.5
,48.46,48.22,18.0,-18.0,20.5,-15.5
,48.46,48.89,18.0,-18.0,18.0,-18.0
,48.46,48.33,18.0,-18.0,15.5,-20.5
,48.46,47.27,18.0,-18.0,20.5,-20.5
139,48.86,46.13,9.0,-18.0,6.5,-15.5
,48.86,46.44,9.0,-18.0,11.5,-15.5
,48.86,46.10,9.0,-18.0,9.0,-18.0
,48.86,45.15,9.0,-18.0,6.5,-20.5
,48.86,45.45,9.0,-18.0,11.5,-20.5
113,39.19,29.11,0.0,-18.0,-2.5,-15.5
,39.19,44.98,0.0,-18.0,2.5,-15.5
,39.19,40.26,0.0,-18.0,0.0,-18.0
,39.19,28.39,0.0,-18.0,-2.5,-20.5
