TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y)
,5118,5040,18,9,21,10
,5118,5208,18,9,15,9
,5118,5200,18,9,16,9
,5118,5189,18,9,17,9
,5118,5171,18,9,18,9
,5118,5144,18,9,19,9
,5118,5102,18,9,20,9
,5118,5038,18,9,21,9
,5118,5206,18,9,15,8
,5118,5199,18,9,16,8
,5118,5188,18,9,17,8
,5118,5170,18,9,18,8
,5118,5143,18,9,19,8
,5118,5101,18,9,20,8
,5118,5037,18,9,21,8
,5118,5206,18,9,15,7
,5118,5198,18,9,16,7
,5118,5187,18,9,17,7
,5118,5169,18,9,18,7
,5118,5142,18,9,19,7
,5118,5100,18,9,20,7
,5118,5036,18,9,21,7
,5118,5206,18,9,15,6
,5118,5199,18,9,16,6
,5118,5187,18,9,17,6
,5118,5169,18,9,18,6
,5118,5142,18,9,19,6
,5118,5101,18,9,20,6
,5118,5037,18,9,21,6
127,5173,5215,9,9,6,12
,5173,5215,9,9,7,12
,5173,5215,9,9,8,12
,5173,5216,9,9,9,12
,5173,5217,9,9,10,12
,5173,5218,9,9,11,12
,5173,5217,9,9,12,12
,5173,5215,9,9,6,11
,5173,5215,9,9,7,11
,5173,5216,9,9,8,11
,5173,5217,9,9,9,11
,5173,5217,9,9,10,11
,5173,5218,9,9,11,11
,5173,5217,9,9,12,11
,5173,5214,9,9,6,10
,5173,5214,9,9,7,10
,5173,5215,9,9,8,10
,5173,5216,9,9,9,10
,5173,5217,9,9,10,10
,5173,5217,9,9,11,10
,5173,5217,9,9,12,10
,5173,5213,9,9,6,9
,5173,5213,9,9,7,9
,5173,5214,9,9,8,9
,5173,5215,9,9,9,9
,5173,5216,9,9,10,9
,5173,5216,9,9,11,9
,5173,5216,9,9,12,9
,5173,5212,9,9,6,8
,5173,5212,9,9,7,8
,5173,5213,9,9,8,8
,5173,5214,9,9,9,8
,5173,5215,9,9,10,8
,5173,5215,9,9,11,8
,5173,5215,9,9,12,8
,5173,5211,9,9,6,7
,5173,5211,9,9,7,7
,5173,5212,9,9,8,7
,5173,5213,9,9,9,7
,5173,5214,9,9,10,7
,5173,5214,9,9,11,7
,5173,5214,9,9,12,7
,5173,5210,9,9,6,6
,5173,5211,9,9,7,6
,5173,5212,9,9,8,6
,5173,5213,9,9,9,6
,5173,5214,9,9,10,6
,5173,5214,9,9,11,6
,5173,5214,9,9,12,6
69,5192,5215,0,9,-3,12
,5192,5214,0,9,-2,12
,5192,5214,0,9,-1,12
,5192,5214,0,9,0,12
,5192,5214,0,9,1,12
,5192,5214,0,9,2,12
,5192,5214,0,9,3,12
,5192,5214,0,9,-3,11
,5192,5214,0,9,-2,11
,5192,5214,0,9,-1,11
,5192,5214,0,9,0,11
,5192,5214,0,9,1,11
