TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y),,,
,4909,4939,18,9,16,6,,,
,4909,4930,18,9,17,6,,,
,4909,4915,18,9,18,6,,,
,4909,4891,18,9,19,6,,,
,4909,4853,18,9,20,6,,,
,4909,4792,18,9,21,6,,,
261,4910,4915,9,9,6,12,,,
,4910,4927,9,9,7,12,,,
,4910,4935,9,9,8,12,,,
,4910,4942,9,9,9,12,,,
,4910,4948,9,9,10,12,,,
,4910,4952,9,9,11,12,,,
,4910,4955,9,9,12,12,,,
,4910,4915,9,9,6,11,,,
,4910,4926,9,9,7,11,,,
,4910,4935,9,9,8,11,,,
,4910,4942,9,9,9,11,,,
,4910,4948,9,9,10,11,,,
,4910,4952,9,9,11,11,,,
,4910,4955,9,9,12,11,,,
,4910,4914,9,9,6,10,,,
,4910,4926,9,9,7,10,,,
,4910,4934,9,9,8,10,,,
,4910,4942,9,9,9,10,,,
,4910,4947,9,9,10,10,,,
,4910,4951,9,9,11,10,,,
,4910,4954,9,9,12,10,,,
,4910,4913,9,9,6,9,,,
,4910,4924,9,9,7,9,,,
,4910,4933,9,9,8,9,,,
,4910,4941,9,9,9,9,,,
,4910,4946,9,9,10,9,,,
,4910,4950,9,9,11,9,,,
,4910,4953,9,9,12,9,,,
,4910,4911,9,9,6,8,,,
,4910,4923,9,9,7,8,,,
,4910,4932,9,9,8,8,,,
,4910,4939,9,9,9,8,,,
,4910,4945,9,9,10,8,,,
,4910,4949,9,9,11,8,,,
,4910,4952,9,9,12,8,,,
,4910,4910,9,9,6,7,,,
,4910,4922,9,9,7,7,,,
,4910,4931,9,9,8,7,,,
,4910,4938,9,9,9,7,,,
,4910,4944,9,9,10,7,,,
,4910,4948,9,9,11,7,,,
,4910,4951,9,9,12,7,,,
,4910,4910,9,9,6,6,,,
,4910,4922,9,9,7,6,,,
,4910,4931,9,9,8,6,,,
,4910,4938,9,9,9,6,,,
,4910,4944,9,9,10,6,,,
,4910,4948,9,9,11,6,,,
,4910,4951,9,9,12,6,,,
110,3935,2806,0,9,-3,12,,,
,3935,2982,0,9,-2,12,,,
,3935,3469,0,9,-1,12,,,
,3935,4052,0,9,0,12,,,
,3935,4348,0,9,1,12,,,
,3935,4473,0,9,2,12,,,
,3935,4538,0,9,3,12,,,
,3935,2806,0,9,-3,11,,,
,3935,2982,0,9,-2,11,,,
,3935,3468,0,9,-1,11,,,
,3935,4051,0,9,0,11,,"25,2","2518,9"
,3935,4348,0,9,1,11,,,
,3935,4472,0,9,2,11,,,
,3935,4538,0,9,3,11,,,
,3935,2806,0,9,-3,10,,,
,3935,2981,0,9,-2,10,,,
,3935,3468,0,9,-1,10,,,
,3935,4050,0,9,0,10,,,
,3935,4347,0,9,1,10,,,
,3935,4471,0,9,2,10,,,
,3935,4537,0,9,3,10,,,
,3935,2805,0,9,-3,9,,,
,3935,2981,0,9,-2,9,,,
,3935,3467,0,9,-1,9,,,
,3935,4049,0,9,0,9,,,
,3935,4345,0,9,1,9,,,
,3935,4470,0,9,2,9,,,
,3935,4535,0,9,3,9,,,
,3935,2805,0,9,-3,8,,,
,3935,2980,0,9,-2,8,,,
,3935,3466,0,9,-1,8,,,
,3935,4048,0,9,0,8,,,
,3935,4344,0,9,1,8,,,
,3935,4468,0,9,2,8,,,
,3935,4534,0,9,3,8,,,
,3935,2804,0,9,-3,7,,,
,3935,2979,0,9,-2,7,,,
,3935,3465,0,9,-1,7,,,
,3935,4046,0,9,0,7,,,
,3935,4342,0,9,1,7,,,
,3935,4467,0,9,2,7,,,
,3935,4532,0,9,3,7,,,
,3935,2804,0,9,-3,6,,,
,3935,2979,0,9,-2,6,,,
,3935,3464,0,9,-1,6,,,
,3935,4045,0,9,0,6,,,
,3935,4341,0,9,1,6,,,
,3935,4466,0,9,2,6,,,
,3935,4531,0,9,3,6,,,
118,2606,2604,-9,9,-12,12,,,
,2606,2608,-9,9,-11,12,,,
