TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y)
,5163,5212,-9,0,-9,0
,5163,5210,-9,0,-8,0
,5163,5209,-9,0,-7,0
,5163,5207,-9,0,-6,0
,5163,5214,-9,0,-12,-1
,5163,5214,-9,0,-11,-1
,5163,5213,-9,0,-10,-1
,5163,5212,-9,0,-9,-1
,5163,5210,-9,0,-8,-1
,5163,5209,-9,0,-7,-1
,5163,5207,-9,0,-6,-1
,5163,5214,-9,0,-12,-2
,5163,5214,-9,0,-11,-2
,5163,5213,-9,0,-10,-2
,5163,5212,-9,0,-9,-2
,5163,5210,-9,0,-8,-2
,5163,5209,-9,0,-7,-2
,5163,5208,-9,0,-6,-2
,5163,5214,-9,0,-12,-3
,5163,5214,-9,0,-11,-3
,5163,5213,-9,0,-10,-3
,5163,5212,-9,0,-9,-3
,5163,5211,-9,0,-8,-3
,5163,5209,-9,0,-7,-3
,5163,5208,-9,0,-6,-3
208,5075,5037,-18,0,-21,3
,5075,5101,-18,0,-20,3
,5075,5143,-18,0,-19,3
,5075,5170,-18,0,-18,3
,5075,5188,-18,0,-17,3
,5075,5199,-18,0,-16,3
,5075,5206,-18,0,-15,3
,5075,5037,-18,0,-21,2
,5075,5101,-18,0,-20,2
,5075,5143,-18,0,-19,2
,5075,5170,-18,0,-18,2
,5075,5188,-18,0,-17,2
,5075,5199,-18,0,-16,2
,5075,5206,-18,0,-15,2
,5075,5037,-18,0,-21,1
,5075,5102,-18,0,-20,1
,5075,5143,-18,0,-19,1
,5075,5170,-18,0,-18,1
,5075,5188,-18,0,-17,1
,5075,5199,-18,0,-16,1
,5075,5206,-18,0,-15,1
,5075,5037,-18,0,-21,0
,5075,5102,-18,0,-20,0
,5075,5143,-18,0,-19,0
,5075,5170,-18,0,-18,0
,5075,5188,-18,0,-17,0
,5075,5199,-18,0,-16,0
,5075,5206,-18,0,-15,0
,5075,5037,-18,0,-21,-1
,5075,5101,-18,0,-20,-1
,5075,5143,-18,0,-19,-1
,5075,5170,-18,0,-18,-1
,5075,5188,-18,0,-17,-1
,5075,5199,-18,0,-16,-1
,5075,5206,-18,0,-15,-1
,5075,5037,-18,0,-21,-2
,5075,5101,-18,0,-20,-2
,5075,5143,-18,0,-19,-2
,5075,5170,-18,0,-18,-2
,5075,5188,-18,0,-17,-2
,5075,5199,-18,0,-16,-2
,5075,5206,-18,0,-15,-2
,5075,5037,-18,0,-21,-3
,5075,5101,-18,0,-20,-3
,5075,5143,-18,0,-19,-3
,5075,5170,-18,0,-18,-3
,5075,5188,-18,0,-17,-3
,5075,5199,-18,0,-16,-3
,5075,5206,-18,0,-15,-3
167,5109,5206,18,-9,15,-6
,5109,5199,18,-9,16,-6
,5109,5187,18,-9,17,-6
,5109,5170,18,-9,18,-6
,5109,5143,18,-9,19,-6
,5109,5101,18,-9,20,-6
,5109,5037,18,-9,21,-6
,5109,5206,18,-9,15,-7
,5109,5199,18,-9,16,-7
,5109,5187,18,-9,17,-7
,5109,5170,18,-9,18,-7
,5109,5142,18,-9,19,-7
,5109,5101,18,-9,20,-7
,5109,5037,18,-9,21,-7
,5109,5207,18,-9,15,-8
,5109,5199,18,-9,16,-8
,5109,5188,18,-9,17,-8
,5109,5170,18,-9,18,-8
,5109,5143,18,-9,19,-8
,5109,5102,18,-9,20,-8
,5109,5037,18,-9,21,-8
,5109,5208,18,-9,15,-9
,5109,5200,18,-9,16,-9
,5109,5189,18,-9,17,-9
,5109,5172,18,-9,18,-9
,5109,5144,18,-9,19,-9
,5109,5103,18,-9,20,-9
,5109,5039,18,-9,21,-9
,5109,5209,18,-9,15,-10
,5109,5202,18,-9,16,-10
,5109,5190,18,-9,17,-10
,5109,5173,18,-9,18,-10
,5109,5146,18,-9,19,-10
,5109,5104,18,-9,20,-10
,5109,5040,18,-9,21,-10
,5109,5209,18,-9,15,-11
,5109,5202,18,-9,16,-11
,5109,5191,18,-9,17,-11
,5109,5174,18,-9,18,-11
,5109,5147,18,-9,19,-11
,5109,5105,18,-9,20,-11
,5109,5041,18,-9,21,-11
,5109,5210,18,-9,15,-12
,5109,5202,18,-9,16,-12
,5109,5191,18,-9,17,-12
,5109,5174,18,-9,18,-12
,5109,5147,18,-9,19,-12
,5109,5106,18,-9,20,-12
,5109,5042,18,-9,21,-12
133,5117,5210,9,-9,6,-6
,5117,5211,9,-9,7,-6
,5117,5212,9,-9,8,-6
,5117,5213,9,-9,9,-6
,5117,5214,9,-9,10,-6
,5117,5214,9,-9,11,-6
,5117,5214,9,-9,12,-6
,5117,5211,9,-9,6,-7
,5117,5211,9,-9,7,-7
,5117,5212,9,-9,8,-7
,5117,5213,9,-9,9,-7
,5117,5214,9,-9,10,-7
,5117,5215,9,-9,11,-7
,5117,5214,9,-9,12,-7
,5117,5212,9,-9,6,-8
,5117,5212,9,-9,7,-8
,5117,5213,9,-9,8,-8
,5117,5214,9,-9,9,-8
,5117,5215,9,-9,10,-8
,5117,5215,9,-9,11,-8
,5117,5215,9,-9,12,-8
,5117,5213,9,-9,6,-9
,5117,5213,9,-9,7,-9
,5117,5214,9,-9,8,-9
,5117,5215,9,-9,9,-9
,5117,5216,9,-9,10,-9
,5117,5216,9,-9,11,-9
,5117,5216,9,-9,12,-9
,5117,5214,9,-9,6,-10
,5117,5214,9,-9,7,-10
,5117,5215,9,-9,8,-10
,5117,5216,9,-9,9,-10
,5117,5217,9,-9,10,-10
,5117,5217,9,-9,11,-10
,5117,5217,9,-9,12,-10
,5117,5214,9,-9,6,-11
,5117,5215,9,-9,7,-11
,5117,5215,9,-9,8,-11
,5117,5216,9,-9,9,-11
,5117,5217,9,-9,10,-11
,5117,5218,9,-9,11,-11
,5117,5217,9,-9,12,-11
,5117,5214,9,-9,6,-12
,5117,5215,9,-9,7,-12
,5117,5215,9,-9,8,-12
,5117,5216,9,-9,9,-12
,5117,5217,9,-9,10,-12
,5117,5218,9,-9,11,-12
,5117,5217,9,-9,12,-12
104,5184,5208,0,-9,-3,-6
,5184,5208,0,-9,-2,-6
,5184,5207,0,-9,-1,-6
,5184,5207,0,-9,0,-6
,5184,5207,0,-9,1,-6
,5184,5208,0,-9,2,-6
,5184,5208,0,-9,3,-6
,5184,5209,0,-9,-3,-7
,5184,5209,0,-9,-2,-7
,5184,5209,0,-9,-1,-7
